FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
60,6.824793581,6.538155543,22.699280634,0.49071972,18.0831775,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
60.25,6.811329681,6.540757774,22.740553106,0.491514685,18.081201,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
60.5,6.797908244,6.543360361,22.782096127,0.492288587,18.07897816,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
60.75,6.784530519,6.545962533,22.823906983,0.493042398,18.07650643,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
61,6.771197703,6.548563491,22.865982882,0.493777088,18.07378323,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
61.25,6.757910931,6.551162419,22.908320952,0.49449363,18.07080599,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
61.5,6.744671288,6.553758474,22.950918242,0.495192993,18.06757214,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
61.75,6.731479798,6.556350795,22.993771724,0.495876151,18.0640791,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
62,6.71833743,6.558938496,23.036878289,0.496544073,18.06032427,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
62.25,6.705245097,6.561520668,23.080234752,0.497197731,18.05630507,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
62.5,6.692203657,6.564096381,23.123837847,0.497838097,18.0520189,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
62.75,6.67921391,6.566664682,23.16768423,0.498466141,18.04746316,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
63,6.666276599,6.569224597,23.211770478,0.499082835,18.04263525,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
63.25,6.653392412,6.571775127,23.256093091,0.49968915,18.03753255,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
63.5,6.640561982,6.574315253,23.300648487,0.500286057,18.03215245,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
63.75,6.627785883,6.576843932,23.345433009,0.500874528,18.02649233,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
64,6.615064634,6.5793601,23.390442919,0.501455534,18.02054957,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
64.25,6.602398698,6.581862669,23.435674401,0.502030047,18.01432154,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
64.5,6.589788481,6.584350529,23.481123559,0.502599036,18.00780561,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
64.75,6.577234334,6.586822549,23.52678642,0.503163474,18.00099914,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
65,6.56473655,6.589277574,23.572658931,0.503724333,17.99389948,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
65.25,6.552295366,6.591714428,23.618736962,0.504282582,17.98650398,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
65.5,6.539910964,6.594131911,23.665016302,0.504839194,17.97881001,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
65.75,6.527583469,6.596528802,23.711492663,0.505395139,17.9708149,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
66,6.51531295,6.598903856,23.758161678,0.50595139,17.96251598,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
66.25,6.503099418,6.601255807,23.8050189,0.506508916,17.9539106,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
66.5,6.490942829,6.603583367,23.852059806,0.50706869,17.94499608,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
66.75,6.478843085,6.605885224,23.899279791,0.507631683,17.93576974,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
67,6.466800027,6.608160045,23.946674173,0.508198866,17.92622892,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
67.25,6.454813443,6.610406473,23.994238192,0.50877121,17.91637092,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
67.5,6.442883063,6.612623131,24.041967007,0.509349687,17.90619305,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
