FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
11.25,4.17715638562012,-4.2538178782959,2.02667284137451,-2.39998320136718,19.9360400516636,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.5,4.24995464822188,-4.23795670230937,2.06210737257419,-2.3765202354125,19.9389730234646,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.75,4.32147573337324,-4.22237241685527,2.09683734860182,-2.35326772777656,19.94207029194,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12,4.3917318688,-4.2070614272,2.130875405952,-2.33022470719999,19.9453302040064,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.25,4.46073522593574,-4.19202016101152,2.16423410239808,-2.30739020242343,19.948751101913,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.5,4.52849791992188,-4.17724506835937,2.19692591699219,-2.28476324218749,19.9523313232422,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.75,4.59503200960762,-4.16273262171465,2.22896325006526,-2.26234285523281,19.956069200909,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13,4.66034949755,-4.14847931595,2.260358423227,-2.24012807029999,19.9599630631614,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.25,4.72446233001387,-4.13448166833965,2.29112367936589,-2.21811791612968,19.9640112335803,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.5,4.78738239697187,-4.12073621855937,2.32127118264919,-2.19631142146249,19.9682120310796,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.75,4.84912153210449,-4.10723952868652,2.35081301852295,-2.17470761503905,19.9725637699058,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14,4.9096915128,-4.0939881832,2.379761193712,-2.15330552559999,19.9770647596384,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.25,4.96910406015449,-4.08097878898027,2.40812763621995,-2.13210418188593,19.9817133051899,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.5,5.02737083897188,-4.06820797530937,2.43592419532919,-2.11110261263749,19.9865077068056,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.75,5.08450345776387,-4.0556723938709,2.46316264160089,-2.0902998465953,19.9914462600636,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15,5.14051346875,-4.04336871875,2.489854666875,-2.06969491249999,19.996527255875,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.25,5.19541236785762,-4.0312936464334,2.51601188427026,-2.04928683909217,20.0017489804837,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.5,5.24921159472188,-4.01944389580937,2.54164582818419,-2.02907465511249,20.0071097154666,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.75,5.30192253268574,-4.00781620816777,2.56676795429307,-2.00905738930155,20.0126077377333,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
