FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
20,-0.664465,3.34196,-0.517354,-3.68979,29.0744,-3.934383152,-6.41475868,86.78922,0.8496776,-0.004250374,-0.2993403
20.5,-0.664466,3.34197,-0.517355,-3.68980,29.0745,-3.94232492016377,-6.41019149188382,87.492872374625,0.85255899975,-0.00266382251225,-0.3012357075
21,-0.664467,3.34198,-0.517356,-3.68981,29.0746,-3.94942370528975,-6.4012960826424,88.201108809,0.855391739,-0.001027235518,-0.303131115
21.5,-0.664468,3.34199,-0.517357,-3.68982,29.0747,-3.95572772596578,-6.38808099393947,88.913490595875,0.85817581775,0.000659677129249997,-0.3050265225
22,-0.664469,3.34200,-0.517358,-3.68983,29.0748,-3.96128208465107,-6.3705604927168,89.629587464,0.860911236,0.00239720557599999,-0.30692193
22.5,-0.664470,3.34201,-0.517359,-3.68984,29.0749,-3.96612892092603,-6.34875442945313,90.348977578125,0.86359799375,0.00418563996874999,-0.3088173375
23,-0.664471,3.34202,-0.517360,-3.68985,29.0750,-3.97030756130618,-6.3226880964232,91.071247539,0.866236091,0.006025270454,-0.310712745
23.5,-0.664472,3.34203,-0.517361,-3.68986,29.0751,-3.97385466562032,-6.29239208595678,91.795992383375,0.86882552775,0.00791638717825,-0.3126081525
24,-0.664473,3.34204,-0.517362,-3.68987,29.0752,-3.97680436995277,-6.2579021486976,92.522815584,0.871366304,0.00985928028799999,-0.31450356
24.5,-0.664474,3.34205,-0.517363,-3.68988,29.0753,-3.97918842614988,-6.21925905186242,93.251329049625,0.87385841975,0.01185423992975,-0.3163989675
25,-0.664475,3.34206,-0.517364,-3.68989,29.0754,-3.98103633789062,-6.1765084375,93.981153125,0.876301875,0.01390155625,-0.318294375
25.5,-0.664476,3.34207,-0.517365,-3.68990,29.0755,-3.98237549332144,-6.12970068075007,94.711916590875,0.87869666975,0.01600151939525,-0.3201897825
26,-0.664477,3.34208,-0.517366,-3.68991,29.0756,-3.98323129425517,-6.0788907481024,95.443256664,0.881042804,0.018154419512,-0.32208519
26.5,-0.664478,3.34209,-0.517367,-3.68992,29.0757,-3.98362728193424,-6.02413805565572,96.174818997125,0.88334027775,0.02036054674675,-0.3239805975
27,-0.664479,3.34210,-0.517368,-3.68993,29.0758,-3.98358525935798,-5.9655063273768,96.906257679,0.885589091,0.022620191246,-0.325876005
27.5,-0.664480,3.34211,-0.517369,-3.68994,29.0759,-3.98312541017407,-5.90306345335938,97.637235234375,0.88778924375,0.02493364315625,-0.3277714125
28,-0.664481,3.34212,-0.517370,-3.68995,29.0760,-3.98226641413427,-5.8368813480832,98.367422624,0.889940736,0.027301192624,-0.32966682
28.5,-0.664482,3.34213,-0.517371,-3.68996,29.0761,-3.9810255591142,-5.76703580867302,99.096499244625,0.89204356775,0.02972312979575,-0.3315622275
29,-0.664483,3.34214,-0.517372,-3.68997,29.0762,-3.97941884969735,-5.6936063731576,99.824152929,0.894097739,0.032199744818,-0.333457635
29.5,-0.664484,3.34215,-0.517373,-3.68998,29.0763,-3.9774611123233,-5.61667617872867,100.550079945875,0.89610324975,0.03473132783725,-0.3353530425
30,-0.664485,3.34216,-0.517374,-3.68999,29.0764,-3.975166097,-5.53633182,101.273985,0.8980601,0.037318169,-0.33724845
