FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
64.5,5.57149290022187,-5.37216298594063,7.1704276446542,-5.578456031875,26.6622090672706,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
64.75,5.55893875292012,-5.37463500597285,7.21609050551652,-5.5790175,26.6554025917342,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
65,5.54644096874999,-5.37709003125,7.26196301687501,-5.579576355625,26.648302931875,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
65.25,5.53399978520136,-5.37952688497285,7.30804104760464,-5.58013357,26.6409074405131,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
65.5,5.52161538347188,-5.38194436794063,7.35432038785919,-5.580690114375,26.6332134658016,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
65.75,5.50928788846698,-5.38434125855098,7.4007967490712,-5.58124696,26.6252183512264,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
66,5.49701736880001,-5.3867163128,7.44746576395202,-5.581805078125,26.6169194356064,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
66.25,5.48480383679199,-5.38906826428223,7.4943229864917,-5.58236544,26.6083140530933,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
66.5,5.47264724847188,-5.39139582419063,7.5413638919592,-5.582929016875,26.5993995331716,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
66.75,5.46054750357637,-5.39369768131661,7.58858387690214,-5.58349678,26.5901732006588,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
67,5.44850444555001,-5.39597250205,7.63597825914701,-5.584069700625,26.5806323757054,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
67.25,5.43651786154512,-5.3982189303791,7.68354227779902,-5.58464875,26.5707743737945,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
67.5,5.42458748242188,-5.40043558789063,7.73127109324219,-5.585234899375,26.5605965057422,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
67.75,5.41271298274824,-5.40262107376973,7.77915978713933,-5.58582912,26.5500960776975,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
68,5.4008939808,-5.4047739648,7.82720336243201,-5.586432383125,26.5392703911424,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
68.25,5.38913003856074,-5.40689281536348,7.87539674334058,-5.58704566,26.5281167428915,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
68.5,5.37742066172187,-5.40897615744063,7.92373477536419,-5.587669921875,26.5166324250926,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
68.75,5.36576529968262,-5.41102250061035,7.97221222528077,-5.58830614,26.5048147252261,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
69,5.35416334555,-5.41303033205,8.02082378114701,-5.588955285625,26.4926609261054,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
69.25,5.34261413613887,-5.41499811653535,8.06956405229838,-5.58961833,26.4801683058768,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
69.5,5.33111695197188,-5.41692429644063,8.1184275693492,-5.590296244375,26.4673341380196,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
69.75,5.31967101727949,-5.41880729173848,8.16740878419246,-5.59099,26.4541556913457,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
70,5.3082755,-5.4206455,8.21650207,-5.591700568125,26.44063023,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
70.25,5.29692951177949,-5.42243729639473,8.26570172122245,-5.59242892,26.4267550134604,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
70.5,5.28563210797187,-5.42418103369063,8.31500195358919,-5.593176026875,26.4125272965376,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
70.75,5.27438228763886,-5.4258750422541,8.36439690410839,-5.59394286,26.3979443293751,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
71,5.26317899355,-5.42751763005,8.41388063106701,-5.594730390625,26.3830033574494,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
71.25,5.25202111218262,-5.42910708264161,8.46344711403076,-5.59553959,26.3677016215698,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
71.5,5.24090747372187,-5.43064166319063,8.5130902538442,-5.596371429375,26.3520363578786,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
71.75,5.22983685206075,-5.43211961245723,8.56280387263057,-5.59722688,26.3360047978508,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
72,5.2188079648,-5.4335391488,8.61258171379201,-5.598106913125,26.3196041682944,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
72.25,5.20781947324824,-5.43489846817598,8.66241744200933,-5.5990125,26.3028316913503,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
72.5,5.19686998242187,-5.43619574414063,8.7123046432422,-5.599944611875,26.2856845844922,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
72.75,5.18595804104512,-5.43742912784786,8.76223682472903,-5.60090422,26.2681600605267,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
73,5.17508214155001,-5.43859674805,8.812207414987,-5.601892295625,26.2502553275934,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
73.25,5.16424072007637,-5.43969671109786,8.86220976381214,-5.60290981,26.2319675891646,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
73.5,5.15343215647188,-5.44072710094063,8.9122371422792,-5.603957734375,26.2132940440456,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
73.75,5.14265477429199,-5.44168597912598,8.96228274274171,-5.60503704,26.1942318863745,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
74,5.13190684080001,-5.4425713848,9.01233967883201,-5.606148698125,26.1747783056224,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
74.25,5.12118656696699,-5.44338133470723,9.0624009854612,-5.60729368,26.1549304865932,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
74.5,5.11049210747187,-5.44411382319063,9.11245961881919,-5.608472956875,26.1346856094236,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
74.75,5.09982156070136,-5.4447668221916,9.16250845637465,-5.6096875,26.1140408495833,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
75,5.08917296874999,-5.44533828125,9.21254029687501,-5.6096875,26.092993377875,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
75,5.08917296874999,-5.44533828125,9.21254029687501,-5.6096875,26.092993377875,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
